mileage,last_service_mileage,make,model,year,fuelType,vehicleType,color,next_service_mileage
15000,10000,Toyota,Camry,2018,Petrol,Sedan,Black,20000
30000,25000,Honda,Civic,2019,Petrol,Sedan,White,35000
50000,45000,Ford,F-150,2020,Diesel,Truck,Blue,55000
8000,3000,Toyota,Corolla,2022,Petrol,Sedan,Red,13000
22000,17000,Honda,Accord,2021,Hybrid,Sedan,Silver,27000
12000,7000,Nissan,Altima,2020,Petrol,Sedan,Gray,17000
45000,40000,Toyota,RAV4,2019,Petrol,SUV,Green,50000
38000,33000,Ford,Explorer,2018,Petrol,SUV,White,43000
75000,70000,Chevrolet,Silverado,2017,Diesel,Truck,Black,80000
25000,20000,BMW,X5,2021,Diesel,SUV,Blue,30000
35000,30000,Mercedes,C-Class,2020,Petrol,Sedan,Silver,40000
18000,13000,Audi,A4,2022,Petrol,Sedan,Black,23000
60000,55000,Jeep,Wrangler,2019,Petrol,SUV,Red,65000
28000,23000,Volkswagen,Golf,2020,Petrol,Hatchback,White,33000
42000,37000,Subaru,Forester,2018,Petrol,SUV,Green,47000
52000,47000,Hyundai,Tucson,2019,Petrol,SUV,Silver,57000
63000,58000,Kia,Sorento,2020,Diesel,SUV,Black,68000
9000,4000,Tesla,Model 3,2022,Electric,Sedan,Blue,14000
33000,28000,Mazda,CX-5,2019,Petrol,SUV,Red,38000
48000,43000,Lexus,ES,2020,Hybrid,Sedan,White,53000
17000,12000,Buick,Encore,2021,Petrol,SUV,Gray,22000
55000,50000,GMC,Sierra,2018,Diesel,Truck,Black,60000
31000,26000,Chrysler,Pacifica,2020,Hybrid,Minivan,Silver,36000
70000,65000,Dodge,Charger,2017,Petrol,Sedan,Red,75000
20000,15000,Mini,Cooper,2021,Petrol,Hatchback,Blue,25000
40000,35000,Volvo,XC60,2019,Petrol,SUV,White,45000
27000,22000,Infiniti,Q50,2020,Petrol,Sedan,Black,32000
58000,53000,Acura,MDX,2018,Petrol,SUV,Silver,63000
14000,9000,Porsche,Cayenne,2022,Hybrid,SUV,Gray,19000
65000,60000,Land Rover,Range Rover,2019,Diesel,SUV,Green,70000
36000,31000,Jaguar,F-Pace,2020,Petrol,SUV,Blue,41000
5000,0,Chevrolet,Bolt,2023,Electric,Hatchback,White,10000
23000,18000,Ford,Mustang,2021,Petrol,Coupe,Red,28000
44000,39000,Toyota,Highlander,2019,Hybrid,SUV,Silver,49000
11000,6000,Honda,CR-V,2022,Petrol,SUV,Black,16000
51000,46000,Subaru,Outback,2018,Petrol,Wagon,Blue,56000
29000,24000,Volkswagen,Tiguan,2020,Petrol,SUV,White,34000
67000,62000,GMC,Yukon,2017,Petrol,SUV,Black,72000
21000,16000,Kia,Telluride,2021,Petrol,SUV,Gray,26000
49000,44000,Jeep,Grand Cherokee,2019,Diesel,SUV,Silver,54000
16000,11000,Mazda,Mazda3,2021,Petrol,Sedan,Red,21000
60000,55000,Lexus,RX,2018,Hybrid,SUV,Black,65000
32000,27000,Hyundai,Santa Fe,2020,Petrol,SUV,Blue,37000
72000,67000,Ford,F-250,2017,Diesel,Truck,White,77000
13000,8000,Toyota,Prius,2022,Hybrid,Hatchback,Silver,18000
53000,48000,Honda,Odyssey,2019,Petrol,Minivan,Gray,58000
24000,19000,Nissan,Rogue,2021,Petrol,SUV,Black,29000
65000,60000,Chevrolet,Traverse,2018,Petrol,SUV,Red,70000
37000,32000,Audi,Q5,2020,Petrol,SUV,White,42000
80000,75000,Ram,1500,2017,Diesel,Truck,Blue,85000
19000,14000,BMW,3-Series,2021,Petrol,Sedan,Black,24000
56000,51000,Mercedes,GLC,2019,Petrol,SUV,Silver,61000
10000,5000,Tesla,Model Y,2022,Electric,SUV,White,15000
41000,36000,Volvo,S60,2020,Petrol,Sedan,Gray,46000
25000,20000,Subaru,Impreza,2021,Petrol,Hatchback,Blue,30000
66000,61000,Toyota,Tacoma,2018,Petrol,Truck,Red,71000
33000,28000,Ford,Edge,2020,Petrol,SUV,Silver,38000
74000,69000,Jeep,Cherokee,2017,Petrol,SUV,Black,79000
12000,7000,Honda,Fit,2022,Petrol,Hatchback,White,17000
54000,49000,Kia,Sportage,2019,Petrol,SUV,Gray,59000
26000,21000,Mazda,CX-9,2021,Petrol,SUV,Red,31000
68000,63000,Nissan,Titan,2018,Diesel,Truck,Blue,73000
39000,34000,Lexus,IS,2020,Petrol,Sedan,Black,44000
7000,2000,Hyundai,Ioniq,2023,Electric,Hatchback,Silver,12000
46000,41000,Buick,Enclave,2019,Petrol,SUV,White,51000
15000,10000,Volkswagen,Jetta,2022,Petrol,Sedan,Gray,20000
58000,53000,Acura,TLX,2018,Petrol,Sedan,Red,63000
28000,23000,Infiniti,QX60,2021,Petrol,SUV,Black,33000
71000,66000,Chevrolet,Colorado,2017,Diesel,Truck,Silver,76000
17000,12000,Toyota,Sienna,2022,Hybrid,Minivan,Blue,22000
57000,52000,Honda,Pilot,2019,Petrol,SUV,White,62000
30000,25000,Ford,Bronco,2021,Petrol,SUV,Black,35000
73000,68000,Dodge,Durango,2018,Petrol,SUV,Gray,78000
14000,9000,BMW,X3,2022,Petrol,SUV,Red,19000
55000,50000,Mercedes,E-Class,2019,Petrol,Sedan,Silver,60000
31000,26000,Audi,Q7,2020,Diesel,SUV,Blue,36000
69000,64000,Toyota,Tundra,2018,Petrol,Truck,Black,74000
22000,17000,Honda,Insight,2021,Hybrid,Sedan,White,27000
62000,57000,Mazda,MX-5,2019,Petrol,Convertible,Red,67000
34000,29000,Subaru,Crosstrek,2020,Petrol,SUV,Gray,39000
76000,71000,Chevrolet,Equinox,2017,Petrol,SUV,Silver,81000
9000,4000,Hyundai,Palisade,2023,Petrol,SUV,Blue,14000
47000,42000,Kia,Forte,2019,Petrol,Sedan,Black,52000
18000,13000,Volkswagen,Atlas,2022,Petrol,SUV,White,23000
59000,54000,Jeep,Compass,2018,Petrol,SUV,Red,64000
29000,24000,Nissan,Murano,2021,Petrol,SUV,Gray,34000
72000,67000,Ford,Ranger,2017,Diesel,Truck,Blue,77000
16000,11000,Toyota,Avalon,2022,Hybrid,Sedan,Black,21000
59000,54000,Honda,Passport,2019,Petrol,SUV,Silver,64000
32000,27000,Lexus,NX,2020,Hybrid,SUV,White,37000
75000,70000,GMC,Canyon,2017,Diesel,Truck,Red,80000
6000,1000,Tesla,Model S,2023,Electric,Sedan,Gray,11000
45000,40000,Volvo,XC40,2019,Petrol,SUV,Black,50000
20000,15000,BMW,5-Series,2021,Petrol,Sedan,Blue,25000
64000,59000,Mercedes,GLE,2018,Diesel,SUV,Silver,69000
35000,30000,Audi,A6,2020,Petrol,Sedan,White,40000
78000,73000,Ram,2500,2017,Diesel,Truck,Black,83000